CybORG v2.1, Scenario2, Commit Hash: 9421c8e985627810c5cac2abf0bcb62dfa6749fc
author: d, team: d, technique: d
wrappers: ChallengeWrapper(env=env, agent_name='Blue')
steps: 30, adversary: B_lineAgent, mean: -163.75699999999995, standard deviation 80.8954634767062
actions: [('Analyse Enterprise0', 'DiscoverRemoteSystems 10.0.158.176/28'), ('Analyse Op_Host2', 'DiscoverNetworkServices 10.0.158.182'), ('Remove Op_Host1', 'ExploitRemoteService 10.0.158.182'), ('DecoyApache Op_Host1', 'PrivilegeEscalate User1'), ('Analyse Defender', 'DiscoverNetworkServices 10.0.180.247'), ('Analyse User2', 'ExploitRemoteService 10.0.180.247'), ('DecoyApache User3', 'ExploitRemoteService 10.0.158.182'), ('DecoyFemitter User4', 'PrivilegeEscalate User1'), ('DecoyFemitter User1', 'DiscoverNetworkServices 10.0.180.247'), ('DecoyApache User2', 'ExploitRemoteService 10.0.180.247'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate Enterprise1'), ('DecoyFemitter Enterprise0', 'DiscoverRemoteSystems 10.0.180.240/28'), ('Analyse Op_Host0', 'DiscoverNetworkServices 10.0.180.245'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.180.245'), ('Remove Op_Host1', 'PrivilegeEscalate Enterprise2'), ('DecoyApache User4', 'DiscoverNetworkServices 10.0.225.69'), ('Remove Enterprise0', 'ExploitRemoteService 10.0.225.69'), ('Sleep', 'PrivilegeEscalate Op_Server0'), ('Monitor', 'Impact Op_Server0'), ('Remove User1', 'Impact Op_Server0'), ('DecoyFemitter User0', 'Impact Op_Server0'), ('Remove User1', 'Impact Op_Server0'), ('Remove Op_Host2', 'Impact Op_Server0'), ('Monitor', 'Impact Op_Server0'), ('DecoyApache User3', 'Impact Op_Server0'), ('Remove Op_Host0', 'Impact Op_Server0'), ('DecoyApache Op_Host2', 'Impact Op_Server0'), ('Remove User2', 'Impact Op_Server0'), ('DecoyApache Op_Host2', 'Impact Op_Server0'), ('DecoyFemitter User3', 'Impact Op_Server0')], total reward: -171.79999999999995
actions: [('DecoyFemitter User4', 'DiscoverRemoteSystems 10.0.175.144/28'), ('DecoyApache Enterprise1', 'DiscoverNetworkServices 10.0.175.148'), ('Remove Op_Host0', 'DiscoverNetworkServices 10.0.175.158'), ('Remove Defender', 'DiscoverNetworkServices 10.0.175.157'), ('DecoyApache Op_Server0', 'DiscoverNetworkServices 10.0.175.151'), ('DecoyApache User3', 'DiscoverNetworkServices 10.0.175.145'), ('Remove User4', 'PrivilegeEscalate User0'), ('DecoyFemitter User2', 'ExploitRemoteService 10.0.175.151'), ('DecoyFemitter User2', 'PrivilegeEscalate User4'), ('Analyse Op_Host1', 'DiscoverNetworkServices 10.0.32.165'), ('DecoyFemitter User0', 'ExploitRemoteService 10.0.175.157'), ('DecoyApache User3', 'PrivilegeEscalate User1'), ('Sleep', 'DiscoverNetworkServices 10.0.32.161'), ('DecoyApache Enterprise2', 'ExploitRemoteService 10.0.175.145'), ('DecoyFemitter Enterprise2', 'PrivilegeEscalate User2'), ('DecoyApache Enterprise1', 'ExploitRemoteService 10.0.175.158'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.175.148'), ('Remove User4', 'PrivilegeEscalate User3'), ('Analyse User0', 'ExploitRemoteService 10.0.32.161'), ('DecoyApache User3', 'PrivilegeEscalate Enterprise1'), ('DecoyApache User4', 'DiscoverRemoteSystems 10.0.32.160/28'), ('Analyse Op_Server0', 'DiscoverNetworkServices 10.0.32.164'), ('Analyse User1', 'DiscoverNetworkServices 10.0.32.162'), ('Analyse User4', 'ExploitRemoteService 10.0.32.162'), ('Remove Defender', 'ExploitRemoteService 10.0.32.164'), ('Remove User0', 'ExploitRemoteService 10.0.32.161'), ('DecoyFemitter User3', 'PrivilegeEscalate Enterprise1'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.32.162'), ('DecoyFemitter User1', 'ExploitRemoteService 10.0.32.162'), ('DecoyApache Op_Host0', 'ExploitRemoteService 10.0.32.165')], total reward: -18.3
actions: [('Analyse User2', 'DiscoverRemoteSystems 10.0.172.0/28'), ('DecoyApache User1', 'DiscoverNetworkServices 10.0.172.3'), ('Analyse User4', 'DiscoverNetworkServices 10.0.172.2'), ('DecoyApache Op_Host0', 'DiscoverNetworkServices 10.0.172.10'), ('Monitor', 'DiscoverNetworkServices 10.0.172.11'), ('Analyse Enterprise0', 'DiscoverNetworkServices 10.0.172.7'), ('Analyse Defender', 'PrivilegeEscalate User0'), ('DecoyFemitter Enterprise2', 'ExploitRemoteService 10.0.172.2'), ('Analyse User0', 'PrivilegeEscalate User3'), ('Sleep', 'DiscoverNetworkServices 10.0.76.94'), ('Analyse User2', 'ExploitRemoteService 10.0.76.94'), ('DecoyApache User3', 'PrivilegeEscalate Enterprise0'), ('DecoyFemitter Defender', 'DiscoverRemoteSystems 10.0.76.80/28'), ('DecoyApache Op_Server0', 'DiscoverNetworkServices 10.0.76.86'), ('DecoyFemitter User2', 'DiscoverNetworkServices 10.0.76.91'), ('Analyse Op_Host1', 'DiscoverNetworkServices 10.0.76.89'), ('Remove User2', 'ExploitRemoteService 10.0.76.86'), ('DecoyApache Enterprise0', 'PrivilegeEscalate Enterprise1'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.172.3'), ('DecoyFemitter User3', 'PrivilegeEscalate User1'), ('DecoyApache Defender', 'ExploitRemoteService 10.0.76.91'), ('DecoyFemitter Op_Host1', 'ExploitRemoteService 10.0.172.7'), ('DecoyFemitter Op_Host0', 'ExploitRemoteService 10.0.172.10'), ('Remove User1', 'PrivilegeEscalate User2'), ('DecoyApache Enterprise0', 'ExploitRemoteService 10.0.76.91'), ('DecoyApache Enterprise0', 'ExploitRemoteService 10.0.76.91'), ('DecoyApache Enterprise2', 'ExploitRemoteService 10.0.76.86'), ('DecoyFemitter Defender', 'PrivilegeEscalate Enterprise1'), ('DecoyFemitter Enterprise2', 'ExploitRemoteService 10.0.76.91'), ('Remove Op_Host1', 'PrivilegeEscalate Enterprise2')], total reward: -37.099999999999994
actions: [('Remove Op_Host2', 'DiscoverRemoteSystems 10.0.73.16/28'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.73.17'), ('DecoyFemitter User1', 'DiscoverNetworkServices 10.0.73.24'), ('DecoyApache Enterprise0', 'DiscoverNetworkServices 10.0.73.25'), ('DecoyFemitter Defender', 'DiscoverNetworkServices 10.0.73.21'), ('Analyse Op_Host1', 'DiscoverNetworkServices 10.0.73.18'), ('Remove Op_Host0', 'PrivilegeEscalate User0'), ('DecoyApache Op_Host0', 'ExploitRemoteService 10.0.73.24'), ('DecoyFemitter User3', 'ExploitRemoteService 10.0.73.18'), ('DecoyApache User0', 'PrivilegeEscalate User3'), ('Remove Enterprise1', 'DiscoverNetworkServices 10.0.235.141'), ('Remove User1', 'ExploitRemoteService 10.0.73.21'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User2'), ('Analyse User0', 'DiscoverNetworkServices 10.0.235.136'), ('Analyse Enterprise0', 'ExploitRemoteService 10.0.235.141'), ('Remove User1', 'ExploitRemoteService 10.0.73.17'), ('DecoyApache Op_Host0', 'PrivilegeEscalate User4'), ('Analyse Op_Host1', 'ExploitRemoteService 10.0.73.25'), ('Monitor', 'PrivilegeEscalate User1'), ('Analyse User1', 'ExploitRemoteService 10.0.235.136'), ('DecoyFemitter Op_Host2', 'ExploitRemoteService 10.0.235.141'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise0'), ('Remove Op_Host1', 'DiscoverRemoteSystems 10.0.235.128/28'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.235.133'), ('Analyse Enterprise0', 'DiscoverNetworkServices 10.0.235.137'), ('DecoyFemitter Op_Server0', 'ExploitRemoteService 10.0.235.133'), ('DecoyFemitter Op_Host0', 'PrivilegeEscalate Enterprise2'), ('DecoyApache Enterprise1', 'DiscoverNetworkServices 10.0.87.42'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.87.42'), ('Analyse Op_Server0', 'ExploitRemoteService 10.0.235.133')], total reward: -19.9
actions: [('Analyse Op_Host0', 'DiscoverRemoteSystems 10.0.178.64/28'), ('Monitor', 'DiscoverNetworkServices 10.0.178.69'), ('DecoyFemitter User3', 'DiscoverNetworkServices 10.0.178.78'), ('DecoyFemitter Enterprise2', 'DiscoverNetworkServices 10.0.178.72'), ('Remove User4', 'DiscoverNetworkServices 10.0.178.68'), ('DecoyApache Enterprise1', 'DiscoverNetworkServices 10.0.178.66'), ('Remove Op_Host2', 'PrivilegeEscalate User0'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.178.72'), ('Monitor', 'PrivilegeEscalate User2'), ('Remove User3', 'DiscoverNetworkServices 10.0.41.254'), ('Analyse User2', 'ExploitRemoteService 10.0.178.69'), ('Remove Op_Server0', 'ExploitRemoteService 10.0.41.254'), ('Analyse Enterprise0', 'ExploitRemoteService 10.0.41.254'), ('DecoyApache User3', 'ExploitRemoteService 10.0.178.68'), ('DecoyApache User3', 'PrivilegeEscalate User1'), ('DecoyFemitter Op_Server0', 'ExploitRemoteService 10.0.178.66'), ('Remove Op_Host2', 'PrivilegeEscalate User4'), ('DecoyApache User0', 'DiscoverNetworkServices 10.0.41.246'), ('DecoyFemitter Defender', 'ExploitRemoteService 10.0.178.78'), ('Remove Enterprise2', 'PrivilegeEscalate User3'), ('DecoyFemitter User2', 'ExploitRemoteService 10.0.41.246'), ('DecoyApache Enterprise1', 'PrivilegeEscalate Enterprise0'), ('DecoyFemitter Enterprise1', 'DiscoverRemoteSystems 10.0.41.240/28'), ('DecoyFemitter User4', 'DiscoverNetworkServices 10.0.41.253'), ('DecoyFemitter Op_Host2', 'DiscoverNetworkServices 10.0.41.247'), ('DecoyFemitter Enterprise2', 'ExploitRemoteService 10.0.41.247'), ('Analyse Op_Server0', 'ExploitRemoteService 10.0.41.254'), ('Remove User3', 'ExploitRemoteService 10.0.41.247'), ('DecoyFemitter User3', 'PrivilegeEscalate Enterprise2'), ('DecoyApache User1', 'DiscoverNetworkServices 10.0.214.245')], total reward: -17.5
actions: [('Analyse Enterprise2', 'DiscoverRemoteSystems 10.0.84.224/28'), ('Remove Op_Host2', 'DiscoverNetworkServices 10.0.84.230'), ('Remove User0', 'DiscoverNetworkServices 10.0.84.231'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.84.229'), ('DecoyApache Op_Host1', 'DiscoverNetworkServices 10.0.84.226'), ('DecoyApache User0', 'DiscoverNetworkServices 10.0.84.238'), ('DecoyApache Op_Host0', 'PrivilegeEscalate User0'), ('Remove User3', 'ExploitRemoteService 10.0.84.238'), ('DecoyFemitter Op_Host0', 'ExploitRemoteService 10.0.84.229'), ('DecoyApache Enterprise2', 'PrivilegeEscalate User3'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.215.2'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.84.226'), ('Remove Defender', 'PrivilegeEscalate User4'), ('DecoyFemitter Op_Host1', 'ExploitRemoteService 10.0.84.231'), ('DecoyApache Defender', 'PrivilegeEscalate User2'), ('Remove User1', 'DiscoverNetworkServices 10.0.215.8'), ('DecoyApache Op_Host1', 'ExploitRemoteService 10.0.215.2'), ('DecoyFemitter Op_Host1', 'PrivilegeEscalate Enterprise0'), ('Analyse Op_Host0', 'DiscoverRemoteSystems 10.0.215.0/28'), ('Analyse User3', 'DiscoverNetworkServices 10.0.215.14'), ('Analyse User1', 'DiscoverNetworkServices 10.0.215.6'), ('DecoyApache Defender', 'ExploitRemoteService 10.0.215.6'), ('Remove Op_Host1', 'ExploitRemoteService 10.0.84.230'), ('DecoyFemitter User2', 'PrivilegeEscalate User1'), ('Remove Op_Host1', 'ExploitRemoteService 10.0.215.6'), ('DecoyApache User0', 'ExploitRemoteService 10.0.215.6'), ('Remove Defender', 'ExploitRemoteService 10.0.215.14'), ('DecoyFemitter User2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.112.247'), ('Remove Op_Host2', 'ExploitRemoteService 10.0.215.8')], total reward: -22.4
actions: [('Remove User4', 'DiscoverRemoteSystems 10.0.46.48/28'), ('Sleep', 'DiscoverNetworkServices 10.0.46.60'), ('Remove Op_Server0', 'DiscoverNetworkServices 10.0.46.51'), ('Remove User1', 'DiscoverNetworkServices 10.0.46.52'), ('Analyse Op_Server0', 'DiscoverNetworkServices 10.0.46.61'), ('Remove User3', 'DiscoverNetworkServices 10.0.46.58'), ('Remove Op_Server0', 'PrivilegeEscalate User0'), ('Remove User0', 'ExploitRemoteService 10.0.46.51'), ('Analyse Defender', 'PrivilegeEscalate User3'), ('Analyse User0', 'DiscoverNetworkServices 10.0.113.169'), ('Remove Op_Host2', 'ExploitRemoteService 10.0.46.61'), ('DecoyFemitter Op_Server0', 'PrivilegeEscalate User2'), ('Sleep', 'DiscoverNetworkServices 10.0.113.172'), ('Analyse Enterprise0', 'ExploitRemoteService 10.0.113.172'), ('Remove Enterprise0', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Host0', 'DiscoverRemoteSystems 10.0.113.160/28'), ('DecoyFemitter Op_Host0', 'DiscoverNetworkServices 10.0.113.168'), ('DecoyApache User0', 'DiscoverNetworkServices 10.0.113.171'), ('Sleep', 'ExploitRemoteService 10.0.46.60'), ('DecoyFemitter Op_Host1', 'PrivilegeEscalate User1'), ('DecoyApache Op_Host0', 'ExploitRemoteService 10.0.113.169'), ('Analyse Op_Server0', 'PrivilegeEscalate Enterprise0'), ('DecoyFemitter User3', 'ExploitRemoteService 10.0.113.168'), ('DecoyFemitter User1', 'PrivilegeEscalate Enterprise2'), ('Analyse Defender', 'DiscoverNetworkServices 10.0.75.135'), ('DecoyFemitter User2', 'ExploitRemoteService 10.0.113.171'), ('DecoyApache Op_Host0', 'ExploitRemoteService 10.0.113.168'), ('Analyse User0', 'PrivilegeEscalate Enterprise2'), ('DecoyFemitter User4', 'ExploitRemoteService 10.0.46.52'), ('DecoyApache Enterprise0', 'ExploitRemoteService 10.0.113.169')], total reward: -37.5
actions: [('DecoyApache User3', 'DiscoverRemoteSystems 10.0.233.32/28'), ('Remove Op_Host1', 'DiscoverNetworkServices 10.0.233.39'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.233.34'), ('DecoyFemitter Enterprise2', 'DiscoverNetworkServices 10.0.233.36'), ('Remove User1', 'DiscoverNetworkServices 10.0.233.38'), ('DecoyApache User4', 'DiscoverNetworkServices 10.0.233.33'), ('DecoyFemitter Op_Host2', 'PrivilegeEscalate User0'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.233.33'), ('DecoyApache Defender', 'PrivilegeEscalate User1'), ('Remove Defender', 'DiscoverNetworkServices 10.0.56.97'), ('DecoyApache User3', 'ExploitRemoteService 10.0.233.38'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User2'), ('Analyse Op_Host2', 'ExploitRemoteService 10.0.233.36'), ('DecoyApache Enterprise0', 'PrivilegeEscalate User4'), ('Analyse User1', 'DiscoverNetworkServices 10.0.56.106'), ('DecoyApache User2', 'ExploitRemoteService 10.0.56.97'), ('Remove Enterprise0', 'PrivilegeEscalate Enterprise1'), ('Remove Enterprise0', 'DiscoverRemoteSystems 10.0.56.96/28'), ('Remove Enterprise1', 'DiscoverNetworkServices 10.0.56.109'), ('Remove Enterprise1', 'DiscoverNetworkServices 10.0.56.103'), ('DecoyFemitter User2', 'ExploitRemoteService 10.0.56.103'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.56.106'), ('Analyse Op_Host1', 'PrivilegeEscalate Enterprise0'), ('Sleep', 'ExploitRemoteService 10.0.56.103'), ('DecoyApache Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.82.33'), ('DecoyApache User3', 'ExploitRemoteService 10.0.82.33'), ('DecoyFemitter User2', 'PrivilegeEscalate Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Monitor', 'Impact Op_Server0')], total reward: -58.10000000000001
actions: [('Sleep', 'DiscoverRemoteSystems 10.0.159.112/28'), ('DecoyFemitter User2', 'DiscoverNetworkServices 10.0.159.122'), ('Remove User0', 'DiscoverNetworkServices 10.0.159.115'), ('Analyse User2', 'DiscoverNetworkServices 10.0.159.114'), ('Remove User0', 'DiscoverNetworkServices 10.0.159.121'), ('DecoyApache User1', 'DiscoverNetworkServices 10.0.159.123'), ('Remove Defender', 'PrivilegeEscalate User0'), ('DecoyApache User0', 'ExploitRemoteService 10.0.159.114'), ('DecoyFemitter Op_Server0', 'ExploitRemoteService 10.0.159.121'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User3'), ('Remove Enterprise0', 'DiscoverNetworkServices 10.0.73.215'), ('DecoyFemitter Op_Host0', 'ExploitRemoteService 10.0.159.122'), ('Analyse Op_Host1', 'ExploitRemoteService 10.0.159.115'), ('Remove Defender', 'PrivilegeEscalate User4'), ('Remove Enterprise0', 'ExploitRemoteService 10.0.159.114'), ('Monitor', 'ExploitRemoteService 10.0.159.114'), ('Analyse Defender', 'PrivilegeEscalate User2'), ('Analyse Defender', 'DiscoverNetworkServices 10.0.73.214'), ('Remove Enterprise2', 'ExploitRemoteService 10.0.73.214'), ('DecoyFemitter Op_Host1', 'PrivilegeEscalate Enterprise1'), ('DecoyFemitter Op_Host2', 'DiscoverRemoteSystems 10.0.73.208/28'), ('DecoyFemitter Enterprise0', 'DiscoverNetworkServices 10.0.73.216'), ('DecoyApache User4', 'DiscoverNetworkServices 10.0.73.211'), ('Remove Op_Host2', 'ExploitRemoteService 10.0.73.211'), ('DecoyFemitter Enterprise2', 'PrivilegeEscalate Enterprise2'), ('DecoyFemitter Defender', 'DiscoverNetworkServices 10.0.162.51'), ('DecoyFemitter User4', 'ExploitRemoteService 10.0.162.51'), ('Analyse Op_Host0', 'ExploitRemoteService 10.0.162.51'), ('Remove Enterprise0', 'ExploitRemoteService 10.0.73.216'), ('DecoyFemitter User1', 'ExploitRemoteService 10.0.73.215')], total reward: -22.500000000000004
actions: [('DecoyApache User0', 'DiscoverRemoteSystems 10.0.118.48/28'), ('Analyse Op_Host1', 'DiscoverNetworkServices 10.0.118.55'), ('Analyse User1', 'DiscoverNetworkServices 10.0.118.60'), ('DecoyFemitter Op_Host1', 'DiscoverNetworkServices 10.0.118.61'), ('Analyse User0', 'DiscoverNetworkServices 10.0.118.53'), ('DecoyFemitter User2', 'DiscoverNetworkServices 10.0.118.51'), ('DecoyApache User0', 'PrivilegeEscalate User0'), ('Remove User2', 'ExploitRemoteService 10.0.118.51'), ('DecoyApache User3', 'PrivilegeEscalate User1'), ('DecoyApache User2', 'DiscoverNetworkServices 10.0.170.3'), ('Analyse User1', 'ExploitRemoteService 10.0.118.60'), ('DecoyFemitter User4', 'PrivilegeEscalate User4'), ('Remove Enterprise1', 'DiscoverNetworkServices 10.0.170.4'), ('DecoyApache User3', 'ExploitRemoteService 10.0.170.4'), ('DecoyFemitter Enterprise0', 'PrivilegeEscalate Enterprise0'), ('DecoyFemitter User1', 'DiscoverRemoteSystems 10.0.170.0/28'), ('DecoyFemitter User3', 'DiscoverNetworkServices 10.0.170.14'), ('DecoyFemitter User1', 'DiscoverNetworkServices 10.0.170.13'), ('Analyse Op_Host2', 'ExploitRemoteService 10.0.118.55'), ('Remove Defender', 'PrivilegeEscalate User3'), ('Analyse Op_Host1', 'ExploitRemoteService 10.0.170.14'), ('Analyse User3', 'ExploitRemoteService 10.0.170.4'), ('DecoyApache Op_Host0', 'PrivilegeEscalate Enterprise0'), ('DecoyApache User0', 'ExploitRemoteService 10.0.170.14'), ('Remove User4', 'ExploitRemoteService 10.0.170.14'), ('Remove Enterprise0', 'ExploitRemoteService 10.0.170.13'), ('Analyse Defender', 'PrivilegeEscalate Enterprise2'), ('Remove User1', 'DiscoverNetworkServices 10.0.108.185'), ('DecoyFemitter User3', 'ExploitRemoteService 10.0.170.4'), ('Remove Op_Host1', 'PrivilegeEscalate Enterprise0')], total reward: -25.500000000000007
actions: [('DecoyFemitter Enterprise0', 'DiscoverRemoteSystems 10.0.100.144/28'), ('Remove User4', 'DiscoverNetworkServices 10.0.100.145'), ('DecoyApache Enterprise1', 'DiscoverNetworkServices 10.0.100.146'), ('Monitor', 'DiscoverNetworkServices 10.0.100.154'), ('Analyse Op_Host2', 'DiscoverNetworkServices 10.0.100.148'), ('DecoyFemitter User3', 'DiscoverNetworkServices 10.0.100.158'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User0'), ('DecoyApache User1', 'ExploitRemoteService 10.0.100.145'), ('DecoyApache User3', 'PrivilegeEscalate User1'), ('DecoyApache Enterprise0', 'DiscoverNetworkServices 10.0.15.135'), ('DecoyApache User0', 'ExploitRemoteService 10.0.100.148'), ('Analyse Op_Host0', 'ExploitRemoteService 10.0.100.158'), ('Analyse Op_Host1', 'PrivilegeEscalate User3'), ('DecoyFemitter User2', 'DiscoverNetworkServices 10.0.15.142'), ('DecoyFemitter Op_Host0', 'ExploitRemoteService 10.0.100.154'), ('Analyse Enterprise2', 'PrivilegeEscalate User4'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.15.142'), ('DecoyFemitter Op_Host0', 'ExploitRemoteService 10.0.15.142'), ('DecoyApache Op_Host1', 'ExploitRemoteService 10.0.100.146'), ('DecoyApache Op_Host2', 'PrivilegeEscalate User2'), ('DecoyApache User2', 'ExploitRemoteService 10.0.15.135'), ('Analyse User2', 'PrivilegeEscalate Enterprise1'), ('Remove Op_Host0', 'DiscoverRemoteSystems 10.0.15.128/28'), ('Remove User4', 'DiscoverNetworkServices 10.0.15.141'), ('Remove User4', 'DiscoverNetworkServices 10.0.15.134'), ('DecoyFemitter User2', 'ExploitRemoteService 10.0.15.142'), ('Analyse User2', 'ExploitRemoteService 10.0.15.135'), ('DecoyFemitter Enterprise0', 'PrivilegeEscalate Enterprise1'), ('DecoyApache Op_Server0', 'ExploitRemoteService 10.0.15.134'), ('DecoyApache Enterprise0', 'PrivilegeEscalate Enterprise2')], total reward: -17.8
actions: [('Analyse User2', 'DiscoverRemoteSystems 10.0.131.160/28'), ('Analyse User3', 'DiscoverNetworkServices 10.0.131.170'), ('Remove Op_Host0', 'DiscoverNetworkServices 10.0.131.173'), ('Analyse User1', 'DiscoverNetworkServices 10.0.131.169'), ('Remove Enterprise2', 'DiscoverNetworkServices 10.0.131.165'), ('Analyse User1', 'DiscoverNetworkServices 10.0.131.163'), ('Remove User1', 'PrivilegeEscalate User0'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.131.170'), ('DecoyFemitter User2', 'PrivilegeEscalate User2'), ('DecoyFemitter Op_Host2', 'DiscoverNetworkServices 10.0.179.99'), ('Analyse User0', 'ExploitRemoteService 10.0.131.173'), ('Analyse Defender', 'ExploitRemoteService 10.0.131.169'), ('DecoyApache User3', 'PrivilegeEscalate User1'), ('DecoyApache Op_Server0', 'ExploitRemoteService 10.0.179.99'), ('DecoyFemitter User1', 'ExploitRemoteService 10.0.179.99'), ('DecoyFemitter User4', 'ExploitRemoteService 10.0.131.163'), ('DecoyFemitter User0', 'PrivilegeEscalate User4'), ('DecoyFemitter Op_Host2', 'DiscoverNetworkServices 10.0.179.101'), ('DecoyFemitter Enterprise2', 'ExploitRemoteService 10.0.131.165'), ('DecoyFemitter Op_Server0', 'PrivilegeEscalate User3'), ('Remove Op_Host2', 'ExploitRemoteService 10.0.179.99'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate Enterprise1'), ('DecoyApache User4', 'DiscoverRemoteSystems 10.0.179.96/28'), ('Remove Enterprise2', 'DiscoverNetworkServices 10.0.179.102'), ('DecoyApache User1', 'DiscoverNetworkServices 10.0.179.104'), ('Remove Op_Host1', 'ExploitRemoteService 10.0.179.101'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate Enterprise0'), ('Analyse User1', 'ExploitRemoteService 10.0.179.104'), ('Analyse Op_Host0', 'ExploitRemoteService 10.0.179.101'), ('DecoyFemitter Op_Host0', 'PrivilegeEscalate Enterprise0')], total reward: -20.9
actions: [('Analyse Enterprise2', 'DiscoverRemoteSystems 10.0.36.192/28'), ('DecoyFemitter Op_Host0', 'DiscoverNetworkServices 10.0.36.198'), ('DecoyFemitter Op_Host2', 'DiscoverNetworkServices 10.0.36.196'), ('DecoyFemitter Op_Host0', 'DiscoverNetworkServices 10.0.36.201'), ('Remove Op_Host0', 'DiscoverNetworkServices 10.0.36.203'), ('Remove User3', 'DiscoverNetworkServices 10.0.36.194'), ('DecoyApache Op_Host2', 'PrivilegeEscalate User0'), ('Remove User0', 'ExploitRemoteService 10.0.36.201'), ('Remove Enterprise2', 'PrivilegeEscalate User2'), ('Remove Op_Server0', 'DiscoverNetworkServices 10.0.102.249'), ('Analyse Enterprise0', 'ExploitRemoteService 10.0.36.196'), ('Monitor', 'ExploitRemoteService 10.0.36.194'), ('DecoyApache User2', 'PrivilegeEscalate User1'), ('Remove Op_Server0', 'ExploitRemoteService 10.0.36.198'), ('DecoyApache User2', 'PrivilegeEscalate User4'), ('Analyse Op_Host0', 'DiscoverNetworkServices 10.0.102.247'), ('DecoyApache Op_Host2', 'ExploitRemoteService 10.0.36.203'), ('Remove User0', 'PrivilegeEscalate User3'), ('DecoyApache User4', 'ExploitRemoteService 10.0.102.247'), ('DecoyFemitter User4', 'PrivilegeEscalate Enterprise0'), ('Remove User4', 'DiscoverRemoteSystems 10.0.102.240/28'), ('DecoyApache User2', 'DiscoverNetworkServices 10.0.102.252'), ('DecoyFemitter Op_Server0', 'DiscoverNetworkServices 10.0.102.245'), ('DecoyFemitter User1', 'ExploitRemoteService 10.0.102.252'), ('DecoyFemitter Op_Host1', 'ExploitRemoteService 10.0.102.247'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise0'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.102.249'), ('Sleep', 'PrivilegeEscalate Enterprise1'), ('DecoyApache User3', 'ExploitRemoteService 10.0.102.245'), ('Analyse Op_Host2', 'PrivilegeEscalate Enterprise2')], total reward: -22.0
