CybORG v2.1, Scenario2, Commit Hash: 9421c8e985627810c5cac2abf0bcb62dfa6749fc
author: d, team: d, technique: d
wrappers: ChallengeWrapper(env=env, agent_name='Blue')
steps: 30, adversary: B_lineAgent, mean: -166.24299999999994, standard deviation 83.79986892181351
actions: [('Analyse User3', 'DiscoverRemoteSystems 10.0.172.112/28'), ('Remove Enterprise2', 'DiscoverNetworkServices 10.0.172.120'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.172.120'), ('Remove User2', 'PrivilegeEscalate User4'), ('Analyse Op_Host1', 'DiscoverNetworkServices 10.0.29.65'), ('DecoyFemitter Op_Host2', 'ExploitRemoteService 10.0.29.65'), ('Analyse User1', 'PrivilegeEscalate Enterprise0'), ('Analyse Op_Host2', 'DiscoverRemoteSystems 10.0.29.64/28'), ('DecoyFemitter Enterprise0', 'DiscoverNetworkServices 10.0.29.75'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.29.75'), ('DecoyFemitter User3', 'PrivilegeEscalate Enterprise2'), ('Remove Defender', 'DiscoverNetworkServices 10.0.56.133'), ('DecoyApache Enterprise2', 'ExploitRemoteService 10.0.56.133'), ('Remove Op_Server0', 'PrivilegeEscalate Op_Server0'), ('DecoyApache Enterprise2', 'Impact Op_Server0'), ('DecoyApache Enterprise0', 'Impact Op_Server0'), ('DecoyApache Op_Host1', 'Impact Op_Server0'), ('Remove User0', 'Impact Op_Server0'), ('Remove User0', 'Impact Op_Server0'), ('DecoyFemitter Enterprise1', 'Impact Op_Server0'), ('DecoyApache Op_Host2', 'Impact Op_Server0'), ('DecoyFemitter Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('DecoyApache Op_Host1', 'Impact Op_Server0'), ('DecoyFemitter Defender', 'Impact Op_Server0'), ('DecoyApache Op_Host1', 'Impact Op_Server0'), ('DecoyFemitter Enterprise2', 'Impact Op_Server0'), ('DecoyFemitter Enterprise2', 'Impact Op_Server0'), ('Remove Op_Host1', 'Impact Op_Server0'), ('DecoyApache User4', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('DecoyApache Enterprise0', 'DiscoverRemoteSystems 10.0.42.192/28'), ('Remove Op_Server0', 'DiscoverNetworkServices 10.0.42.196'), ('Remove Enterprise1', 'DiscoverNetworkServices 10.0.42.200'), ('Analyse User4', 'DiscoverNetworkServices 10.0.42.205'), ('Remove Enterprise1', 'DiscoverNetworkServices 10.0.42.201'), ('DecoyApache User1', 'DiscoverNetworkServices 10.0.42.204'), ('Analyse User3', 'PrivilegeEscalate User0'), ('DecoyFemitter Defender', 'ExploitRemoteService 10.0.42.204'), ('Remove Op_Host0', 'ExploitRemoteService 10.0.42.205'), ('DecoyApache User3', 'PrivilegeEscalate User3'), ('Remove Defender', 'DiscoverNetworkServices 10.0.109.14'), ('Analyse Op_Host2', 'ExploitRemoteService 10.0.109.14'), ('DecoyFemitter Op_Host1', 'PrivilegeEscalate Enterprise0'), ('DecoyApache Enterprise2', 'DiscoverRemoteSystems 10.0.109.0/28'), ('DecoyFemitter User4', 'DiscoverNetworkServices 10.0.109.13'), ('Remove Defender', 'DiscoverNetworkServices 10.0.109.3'), ('Analyse User3', 'DiscoverNetworkServices 10.0.109.5'), ('Remove Enterprise0', 'ExploitRemoteService 10.0.109.3'), ('Analyse Op_Host2', 'PrivilegeEscalate Enterprise2'), ('Analyse Op_Server0', 'DiscoverNetworkServices 10.0.9.163'), ('Analyse User0', 'ExploitRemoteService 10.0.109.5'), ('DecoyFemitter User4', 'ExploitRemoteService 10.0.42.200'), ('Analyse User3', 'PrivilegeEscalate User1'), ('DecoyFemitter Enterprise2', 'ExploitRemoteService 10.0.9.163'), ('DecoyFemitter User2', 'PrivilegeEscalate Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('DecoyFemitter Op_Host1', 'Impact Op_Server0'), ('DecoyFemitter Op_Server0', 'Impact Op_Server0'), ('Remove Enterprise1', 'Impact Op_Server0')], total reward: -89.0
actions: [('Analyse Op_Server0', 'DiscoverRemoteSystems 10.0.176.32/28'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.176.45'), ('Analyse Op_Host0', 'DiscoverNetworkServices 10.0.176.37'), ('Analyse Enterprise0', 'DiscoverNetworkServices 10.0.176.39'), ('Analyse User3', 'DiscoverNetworkServices 10.0.176.38'), ('Remove Enterprise1', 'DiscoverNetworkServices 10.0.176.40'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User0'), ('DecoyApache Enterprise2', 'ExploitRemoteService 10.0.176.38'), ('DecoyFemitter Enterprise0', 'PrivilegeEscalate User1'), ('DecoyFemitter User2', 'DiscoverNetworkServices 10.0.198.237'), ('Remove Op_Host0', 'ExploitRemoteService 10.0.198.237'), ('DecoyApache Op_Host0', 'PrivilegeEscalate Enterprise1'), ('DecoyApache Op_Host1', 'DiscoverRemoteSystems 10.0.198.224/28'), ('Analyse User4', 'DiscoverNetworkServices 10.0.198.232'), ('Analyse User4', 'DiscoverNetworkServices 10.0.198.236'), ('DecoyApache Enterprise2', 'DiscoverNetworkServices 10.0.198.226'), ('DecoyFemitter Op_Host1', 'ExploitRemoteService 10.0.198.226'), ('DecoyFemitter Op_Host0', 'PrivilegeEscalate Enterprise2'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.115.18'), ('Analyse Defender', 'ExploitRemoteService 10.0.176.39'), ('Analyse Op_Host2', 'PrivilegeEscalate User2'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.198.232'), ('Analyse User0', 'PrivilegeEscalate Enterprise0'), ('DecoyFemitter User0', 'ExploitRemoteService 10.0.176.40'), ('Analyse User0', 'ExploitRemoteService 10.0.115.18'), ('Remove User3', 'ExploitRemoteService 10.0.115.18'), ('Remove Op_Host0', 'PrivilegeEscalate Op_Server0'), ('Remove Defender', 'Impact Op_Server0'), ('DecoyApache Op_Server0', 'Impact Op_Server0'), ('Analyse Op_Server0', 'Impact Op_Server0')], total reward: -77.4
actions: [('DecoyFemitter Defender', 'DiscoverRemoteSystems 10.0.14.64/28'), ('Analyse Op_Host1', 'DiscoverNetworkServices 10.0.14.73'), ('DecoyFemitter User2', 'DiscoverNetworkServices 10.0.14.72'), ('DecoyApache User0', 'DiscoverNetworkServices 10.0.14.68'), ('Remove Op_Host1', 'DiscoverNetworkServices 10.0.14.76'), ('Analyse User1', 'DiscoverNetworkServices 10.0.14.74'), ('Analyse Op_Host2', 'PrivilegeEscalate User0'), ('Remove User0', 'ExploitRemoteService 10.0.14.76'), ('Analyse Op_Server0', 'ExploitRemoteService 10.0.14.72'), ('DecoyApache Op_Host1', 'PrivilegeEscalate User4'), ('DecoyApache User2', 'DiscoverNetworkServices 10.0.180.99'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.14.74'), ('Analyse Defender', 'PrivilegeEscalate User2'), ('Remove User4', 'DiscoverNetworkServices 10.0.180.102'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.180.102'), ('DecoyApache User2', 'PrivilegeEscalate Enterprise1'), ('DecoyFemitter Op_Server0', 'DiscoverRemoteSystems 10.0.180.96/28'), ('Analyse Defender', 'DiscoverNetworkServices 10.0.180.98'), ('DecoyApache Enterprise0', 'DiscoverNetworkServices 10.0.180.106'), ('Remove Enterprise0', 'ExploitRemoteService 10.0.180.98'), ('Analyse Op_Host1', 'ExploitRemoteService 10.0.180.106'), ('Analyse User3', 'PrivilegeEscalate Enterprise2'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.111.17'), ('DecoyApache Op_Host0', 'ExploitRemoteService 10.0.14.73'), ('DecoyFemitter User3', 'ExploitRemoteService 10.0.111.17'), ('Remove User4', 'PrivilegeEscalate Op_Server0'), ('DecoyApache User3', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Analyse User1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0')], total reward: -74.0
actions: [('Analyse User2', 'DiscoverRemoteSystems 10.0.140.16/28'), ('DecoyFemitter Op_Host1', 'DiscoverNetworkServices 10.0.140.30'), ('DecoyApache Op_Host2', 'DiscoverNetworkServices 10.0.140.19'), ('DecoyApache User3', 'DiscoverNetworkServices 10.0.140.23'), ('DecoyApache Enterprise1', 'DiscoverNetworkServices 10.0.140.18'), ('Remove Enterprise0', 'DiscoverNetworkServices 10.0.140.20'), ('DecoyFemitter User2', 'PrivilegeEscalate User0'), ('DecoyFemitter User2', 'ExploitRemoteService 10.0.140.23'), ('Remove User0', 'PrivilegeEscalate User2'), ('Remove Op_Server0', 'DiscoverNetworkServices 10.0.6.107'), ('Analyse User2', 'ExploitRemoteService 10.0.140.18'), ('Remove User4', 'PrivilegeEscalate User4'), ('DecoyApache Op_Server0', 'DiscoverNetworkServices 10.0.6.110'), ('DecoyApache User2', 'ExploitRemoteService 10.0.140.30'), ('DecoyApache User2', 'PrivilegeEscalate User3'), ('DecoyFemitter User1', 'ExploitRemoteService 10.0.6.107'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User3', 'DiscoverRemoteSystems 10.0.6.96/28'), ('DecoyApache Op_Host0', 'DiscoverNetworkServices 10.0.6.105'), ('Remove Op_Host2', 'DiscoverNetworkServices 10.0.6.102'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.6.102'), ('DecoyApache Defender', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.158.106'), ('DecoyFemitter User4', 'ExploitRemoteService 10.0.158.106'), ('Analyse Op_Host0', 'ExploitRemoteService 10.0.6.107'), ('Remove User1', 'PrivilegeEscalate Enterprise1'), ('Remove Op_Host1', 'ExploitRemoteService 10.0.140.20'), ('DecoyFemitter User3', 'PrivilegeEscalate User1'), ('DecoyApache Enterprise0', 'ExploitRemoteService 10.0.140.19'), ('DecoyFemitter Op_Host0', 'ExploitRemoteService 10.0.6.110')], total reward: -29.299999999999997
actions: [('Remove User2', 'DiscoverRemoteSystems 10.0.68.160/28'), ('DecoyApache User0', 'DiscoverNetworkServices 10.0.68.162'), ('DecoyFemitter Op_Host0', 'DiscoverNetworkServices 10.0.68.166'), ('DecoyApache Op_Host2', 'DiscoverNetworkServices 10.0.68.164'), ('Remove Op_Host1', 'DiscoverNetworkServices 10.0.68.161'), ('DecoyFemitter User3', 'DiscoverNetworkServices 10.0.68.163'), ('DecoyApache Op_Host2', 'PrivilegeEscalate User0'), ('DecoyApache User2', 'ExploitRemoteService 10.0.68.163'), ('DecoyApache Op_Host1', 'PrivilegeEscalate User2'), ('DecoyFemitter User2', 'DiscoverNetworkServices 10.0.181.182'), ('Remove User0', 'ExploitRemoteService 10.0.68.164'), ('Analyse Op_Host2', 'PrivilegeEscalate User3'), ('Analyse Op_Host2', 'DiscoverNetworkServices 10.0.181.180'), ('DecoyFemitter Op_Host0', 'ExploitRemoteService 10.0.68.162'), ('Remove User1', 'PrivilegeEscalate User1'), ('DecoyFemitter Enterprise2', 'ExploitRemoteService 10.0.181.182'), ('DecoyFemitter Enterprise0', 'PrivilegeEscalate Enterprise1'), ('DecoyApache User4', 'DiscoverRemoteSystems 10.0.181.176/28'), ('Analyse User4', 'DiscoverNetworkServices 10.0.181.181'), ('Analyse Defender', 'DiscoverNetworkServices 10.0.181.190'), ('Analyse Op_Host0', 'ExploitRemoteService 10.0.68.166'), ('DecoyApache Op_Host2', 'ExploitRemoteService 10.0.181.181'), ('Remove Enterprise0', 'ExploitRemoteService 10.0.181.182'), ('Remove User2', 'PrivilegeEscalate Enterprise1'), ('Remove Op_Host0', 'ExploitRemoteService 10.0.68.161'), ('Analyse Enterprise1', 'PrivilegeEscalate User4'), ('Remove User4', 'ExploitRemoteService 10.0.181.181'), ('DecoyApache User1', 'ExploitRemoteService 10.0.181.181'), ('DecoyApache User4', 'ExploitRemoteService 10.0.181.181'), ('Analyse User4', 'ExploitRemoteService 10.0.181.182')], total reward: -21.499999999999996
actions: [('DecoyFemitter User3', 'DiscoverRemoteSystems 10.0.95.48/28'), ('DecoyApache User0', 'DiscoverNetworkServices 10.0.95.50'), ('Remove User4', 'DiscoverNetworkServices 10.0.95.62'), ('DecoyFemitter User0', 'DiscoverNetworkServices 10.0.95.61'), ('Remove Op_Host2', 'DiscoverNetworkServices 10.0.95.55'), ('Remove User3', 'DiscoverNetworkServices 10.0.95.58'), ('DecoyApache Op_Host0', 'PrivilegeEscalate User0'), ('DecoyApache Op_Host0', 'ExploitRemoteService 10.0.95.62'), ('DecoyFemitter Op_Host0', 'PrivilegeEscalate User2'), ('DecoyFemitter Defender', 'DiscoverNetworkServices 10.0.35.109'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.35.109'), ('DecoyFemitter User4', 'ExploitRemoteService 10.0.35.109'), ('DecoyApache Op_Host0', 'PrivilegeEscalate Enterprise1'), ('Remove Op_Server0', 'DiscoverRemoteSystems 10.0.35.96/28'), ('Remove Op_Host1', 'DiscoverNetworkServices 10.0.35.105'), ('DecoyFemitter Op_Host2', 'DiscoverNetworkServices 10.0.35.104'), ('Remove User3', 'DiscoverNetworkServices 10.0.35.102'), ('Remove User3', 'ExploitRemoteService 10.0.95.50'), ('Remove Defender', 'PrivilegeEscalate User4'), ('DecoyApache User0', 'ExploitRemoteService 10.0.35.102'), ('Analyse Defender', 'PrivilegeEscalate Enterprise0'), ('DecoyFemitter Enterprise0', 'ExploitRemoteService 10.0.95.58'), ('Remove User3', 'PrivilegeEscalate User3'), ('DecoyApache Enterprise1', 'ExploitRemoteService 10.0.35.104'), ('DecoyFemitter User2', 'ExploitRemoteService 10.0.35.109'), ('Remove Op_Host2', 'PrivilegeEscalate Enterprise1'), ('DecoyApache Enterprise2', 'ExploitRemoteService 10.0.35.104'), ('DecoyApache Enterprise0', 'ExploitRemoteService 10.0.35.104'), ('DecoyApache User4', 'ExploitRemoteService 10.0.95.61'), ('Remove User4', 'PrivilegeEscalate User1')], total reward: -32.7
actions: [('Analyse User4', 'DiscoverRemoteSystems 10.0.182.176/28'), ('Remove User3', 'DiscoverNetworkServices 10.0.182.177'), ('DecoyApache User0', 'DiscoverNetworkServices 10.0.182.190'), ('Sleep', 'DiscoverNetworkServices 10.0.182.184'), ('Analyse Op_Host2', 'DiscoverNetworkServices 10.0.182.189'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.182.185'), ('Analyse Op_Host1', 'PrivilegeEscalate User0'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.182.177'), ('Monitor', 'ExploitRemoteService 10.0.182.189'), ('Remove User1', 'PrivilegeEscalate User3'), ('Sleep', 'DiscoverNetworkServices 10.0.189.39'), ('DecoyApache Op_Host2', 'ExploitRemoteService 10.0.182.185'), ('DecoyFemitter User1', 'PrivilegeEscalate User4'), ('DecoyApache Op_Host1', 'ExploitRemoteService 10.0.182.190'), ('Remove Defender', 'PrivilegeEscalate User2'), ('DecoyFemitter Defender', 'DiscoverNetworkServices 10.0.189.43'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.189.39'), ('Remove Op_Server0', 'PrivilegeEscalate Enterprise0'), ('DecoyApache User1', 'DiscoverRemoteSystems 10.0.189.32/28'), ('Analyse User0', 'DiscoverNetworkServices 10.0.189.34'), ('DecoyApache Op_Server0', 'DiscoverNetworkServices 10.0.189.40'), ('Analyse Op_Host0', 'ExploitRemoteService 10.0.182.184'), ('DecoyApache User3', 'PrivilegeEscalate User1'), ('Analyse User1', 'ExploitRemoteService 10.0.189.34'), ('Remove User2', 'ExploitRemoteService 10.0.189.39'), ('Remove Defender', 'PrivilegeEscalate Enterprise0'), ('Remove User1', 'ExploitRemoteService 10.0.189.34'), ('DecoyFemitter User4', 'ExploitRemoteService 10.0.189.43'), ('DecoyFemitter Op_Host2', 'PrivilegeEscalate Enterprise1'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.189.34')], total reward: -21.599999999999998
actions: [('Remove User2', 'DiscoverRemoteSystems 10.0.201.176/28'), ('DecoyApache User1', 'DiscoverNetworkServices 10.0.201.180'), ('DecoyApache Op_Server0', 'DiscoverNetworkServices 10.0.201.177'), ('DecoyFemitter Defender', 'DiscoverNetworkServices 10.0.201.189'), ('Remove Enterprise2', 'DiscoverNetworkServices 10.0.201.178'), ('Remove Enterprise2', 'DiscoverNetworkServices 10.0.201.181'), ('Remove Enterprise2', 'PrivilegeEscalate User0'), ('DecoyApache Op_Host1', 'ExploitRemoteService 10.0.201.177'), ('Analyse Op_Host0', 'PrivilegeEscalate User1'), ('Remove Enterprise2', 'DiscoverNetworkServices 10.0.191.206'), ('DecoyFemitter User1', 'ExploitRemoteService 10.0.201.178'), ('Remove Enterprise0', 'PrivilegeEscalate User3'), ('Sleep', 'DiscoverNetworkServices 10.0.191.200'), ('DecoyApache Op_Host1', 'ExploitRemoteService 10.0.201.189'), ('Remove Enterprise2', 'PrivilegeEscalate User4'), ('DecoyFemitter Defender', 'ExploitRemoteService 10.0.191.200'), ('Sleep', 'PrivilegeEscalate Enterprise0'), ('Analyse User3', 'DiscoverRemoteSystems 10.0.191.192/28'), ('DecoyFemitter User1', 'DiscoverNetworkServices 10.0.191.195'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.191.197'), ('DecoyApache Defender', 'ExploitRemoteService 10.0.191.195'), ('DecoyFemitter Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Enterprise0', 'DiscoverNetworkServices 10.0.133.200'), ('Remove User2', 'ExploitRemoteService 10.0.191.197'), ('DecoyApache Op_Host2', 'ExploitRemoteService 10.0.201.181'), ('Analyse Op_Host1', 'ExploitRemoteService 10.0.201.180'), ('Remove User4', 'PrivilegeEscalate User2'), ('Remove User2', 'ExploitRemoteService 10.0.133.200'), ('Analyse Op_Server0', 'ExploitRemoteService 10.0.133.200'), ('Analyse User3', 'ExploitRemoteService 10.0.191.200')], total reward: -30.499999999999996
actions: [('DecoyFemitter Op_Host2', 'DiscoverRemoteSystems 10.0.63.64/28'), ('Remove User3', 'DiscoverNetworkServices 10.0.63.65'), ('Monitor', 'DiscoverNetworkServices 10.0.63.73'), ('Monitor', 'DiscoverNetworkServices 10.0.63.71'), ('Remove Op_Host2', 'DiscoverNetworkServices 10.0.63.69'), ('DecoyFemitter User2', 'DiscoverNetworkServices 10.0.63.78'), ('DecoyFemitter User1', 'PrivilegeEscalate User0'), ('Analyse Op_Host2', 'ExploitRemoteService 10.0.63.69'), ('Analyse Enterprise0', 'PrivilegeEscalate User3'), ('DecoyApache Defender', 'DiscoverNetworkServices 10.0.202.55'), ('DecoyApache User1', 'ExploitRemoteService 10.0.63.73'), ('Remove User2', 'PrivilegeEscalate User1'), ('DecoyFemitter User3', 'DiscoverNetworkServices 10.0.202.58'), ('Analyse Op_Host1', 'ExploitRemoteService 10.0.202.55'), ('Analyse Op_Host1', 'PrivilegeEscalate Enterprise0'), ('DecoyApache User4', 'DiscoverRemoteSystems 10.0.202.48/28'), ('DecoyApache Op_Host0', 'DiscoverNetworkServices 10.0.202.61'), ('Analyse User2', 'DiscoverNetworkServices 10.0.202.57'), ('DecoyFemitter Op_Host0', 'ExploitRemoteService 10.0.63.65'), ('Analyse User3', 'ExploitRemoteService 10.0.202.61'), ('DecoyFemitter Op_Host2', 'ExploitRemoteService 10.0.202.61'), ('DecoyApache Op_Server0', 'ExploitRemoteService 10.0.202.61'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.202.61'), ('Analyse Enterprise0', 'ExploitRemoteService 10.0.202.58'), ('DecoyApache Op_Host1', 'ExploitRemoteService 10.0.202.55'), ('Analyse User1', 'PrivilegeEscalate Enterprise0'), ('Remove Enterprise2', 'ExploitRemoteService 10.0.63.71'), ('DecoyFemitter Defender', 'PrivilegeEscalate User4'), ('Remove User1', 'ExploitRemoteService 10.0.63.78'), ('DecoyApache Op_Host1', 'ExploitRemoteService 10.0.202.61')], total reward: -20.7
actions: [('DecoyFemitter User0', 'DiscoverRemoteSystems 10.0.113.80/28'), ('Analyse Op_Host2', 'DiscoverNetworkServices 10.0.113.94'), ('Remove Op_Host2', 'DiscoverNetworkServices 10.0.113.92'), ('DecoyApache User3', 'DiscoverNetworkServices 10.0.113.91'), ('DecoyApache User0', 'DiscoverNetworkServices 10.0.113.88'), ('DecoyApache User2', 'DiscoverNetworkServices 10.0.113.85'), ('DecoyApache User0', 'PrivilegeEscalate User0'), ('Remove Op_Host0', 'ExploitRemoteService 10.0.113.85'), ('Analyse Defender', 'ExploitRemoteService 10.0.113.91'), ('DecoyApache User0', 'ExploitRemoteService 10.0.113.92'), ('DecoyFemitter Defender', 'PrivilegeEscalate User1'), ('DecoyApache Defender', 'DiscoverNetworkServices 10.0.218.24'), ('Remove Op_Server0', 'ExploitRemoteService 10.0.113.88'), ('Remove User3', 'PrivilegeEscalate User4'), ('DecoyFemitter Enterprise0', 'DiscoverNetworkServices 10.0.218.17'), ('DecoyFemitter User1', 'ExploitRemoteService 10.0.113.85'), ('Remove User0', 'ExploitRemoteService 10.0.218.17'), ('DecoyApache User1', 'PrivilegeEscalate Enterprise0'), ('DecoyFemitter Op_Host0', 'DiscoverRemoteSystems 10.0.218.16/28'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.218.28'), ('Remove Op_Host2', 'DiscoverNetworkServices 10.0.218.30'), ('DecoyApache Op_Server0', 'ExploitRemoteService 10.0.113.94'), ('Remove User3', 'PrivilegeEscalate User2'), ('Analyse Defender', 'ExploitRemoteService 10.0.218.24'), ('DecoyFemitter User4', 'PrivilegeEscalate Enterprise1'), ('DecoyFemitter User1', 'ExploitRemoteService 10.0.113.85'), ('Remove Op_Server0', 'PrivilegeEscalate User3'), ('DecoyFemitter User1', 'ExploitRemoteService 10.0.218.28'), ('DecoyApache Op_Host0', 'ExploitRemoteService 10.0.218.17'), ('DecoyApache Op_Server0', 'PrivilegeEscalate Enterprise0')], total reward: -24.099999999999998
actions: [('Remove User3', 'DiscoverRemoteSystems 10.0.176.0/28'), ('Remove User3', 'DiscoverNetworkServices 10.0.176.3'), ('Analyse Op_Server0', 'DiscoverNetworkServices 10.0.176.2'), ('DecoyFemitter User3', 'DiscoverNetworkServices 10.0.176.5'), ('DecoyApache Enterprise1', 'DiscoverNetworkServices 10.0.176.11'), ('Remove User3', 'DiscoverNetworkServices 10.0.176.1'), ('Remove User1', 'PrivilegeEscalate User0'), ('DecoyFemitter Op_Host0', 'ExploitRemoteService 10.0.176.5'), ('Analyse User2', 'PrivilegeEscalate User3'), ('Remove Defender', 'DiscoverNetworkServices 10.0.214.251'), ('DecoyFemitter User1', 'ExploitRemoteService 10.0.176.1'), ('Remove Enterprise2', 'PrivilegeEscalate User4'), ('DecoyApache Op_Server0', 'ExploitRemoteService 10.0.214.251'), ('DecoyApache User1', 'PrivilegeEscalate Enterprise0'), ('DecoyApache Enterprise1', 'DiscoverRemoteSystems 10.0.214.240/28'), ('Remove Enterprise2', 'DiscoverNetworkServices 10.0.214.245'), ('DecoyApache Defender', 'DiscoverNetworkServices 10.0.214.246'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.214.242'), ('DecoyFemitter User4', 'ExploitRemoteService 10.0.214.242'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise2'), ('Remove Op_Host1', 'DiscoverNetworkServices 10.0.244.252'), ('DecoyFemitter Op_Host2', 'ExploitRemoteService 10.0.176.11'), ('DecoyApache Op_Host0', 'PrivilegeEscalate User2'), ('Analyse Defender', 'ExploitRemoteService 10.0.176.3'), ('Sleep', 'PrivilegeEscalate User1'), ('DecoyFemitter User1', 'ExploitRemoteService 10.0.214.246'), ('Analyse Op_Host0', 'ExploitRemoteService 10.0.214.246'), ('DecoyApache Op_Server0', 'ExploitRemoteService 10.0.244.252'), ('Remove User2', 'ExploitRemoteService 10.0.244.252'), ('DecoyFemitter Enterprise0', 'ExploitRemoteService 10.0.214.242')], total reward: -33.79999999999999
actions: [('Analyse User1', 'DiscoverRemoteSystems 10.0.175.240/28'), ('DecoyFemitter Enterprise0', 'DiscoverNetworkServices 10.0.175.247'), ('DecoyApache Op_Host0', 'DiscoverNetworkServices 10.0.175.249'), ('DecoyFemitter Defender', 'DiscoverNetworkServices 10.0.175.251'), ('DecoyFemitter Op_Host2', 'DiscoverNetworkServices 10.0.175.242'), ('Analyse User2', 'DiscoverNetworkServices 10.0.175.250'), ('Remove Op_Host1', 'PrivilegeEscalate User0'), ('Monitor', 'ExploitRemoteService 10.0.175.249'), ('DecoyApache Op_Host2', 'PrivilegeEscalate User1'), ('Remove Op_Host1', 'DiscoverNetworkServices 10.0.190.253'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.190.253'), ('Analyse User3', 'PrivilegeEscalate Enterprise1'), ('Analyse User0', 'DiscoverRemoteSystems 10.0.190.240/28'), ('Analyse Op_Host1', 'DiscoverNetworkServices 10.0.190.247'), ('Analyse Op_Server0', 'DiscoverNetworkServices 10.0.190.246'), ('Analyse User2', 'DiscoverNetworkServices 10.0.190.254'), ('DecoyApache User1', 'ExploitRemoteService 10.0.190.254'), ('Remove Enterprise2', 'ExploitRemoteService 10.0.190.254'), ('Analyse Op_Host1', 'ExploitRemoteService 10.0.190.253'), ('DecoyFemitter User2', 'PrivilegeEscalate Enterprise1'), ('Analyse User1', 'ExploitRemoteService 10.0.175.250'), ('Analyse Op_Server0', 'PrivilegeEscalate User4'), ('Analyse Op_Host2', 'ExploitRemoteService 10.0.175.247'), ('Remove User0', 'ExploitRemoteService 10.0.190.254'), ('DecoyApache User2', 'ExploitRemoteService 10.0.175.242'), ('DecoyApache Op_Host2', 'ExploitRemoteService 10.0.175.242'), ('Analyse User4', 'PrivilegeEscalate User3'), ('DecoyApache User4', 'ExploitRemoteService 10.0.190.247'), ('DecoyFemitter Op_Host1', 'PrivilegeEscalate Enterprise0'), ('DecoyApache Enterprise0', 'ExploitRemoteService 10.0.175.251')], total reward: -24.799999999999997
